n_data,K,n_procs,mode,serial_total,serial_komp,paralel_total,paralel_komp,speedup_total,speedup_komp,eff_total,eff_komp
1000,7,1,both,1.3112928072611492,1.3112928072611492,0.011731942494710287,0.011731942494710287,111.77115877037298,,,
5000,7,1,both,1.1974096298217773,1.1974096298217773,0.043531338373819985,0.043531338373819985,27.506841612338455,,,
10000,7,1,both,1.4922844568888347,1.4922844568888347,0.09357587496439616,0.09357587496439616,15.947320369236413,,,
25000,7,1,both,1.646030108133952,1.646030108133952,0.23600220680236816,0.23600220680236816,6.974638629173339,,,
50000,7,1,both,1.4690945943196614,1.4690945943196614,0.3622881571451823,0.3622881571451823,4.055044486952249,,,
75000,7,1,both,1.484907865524292,1.484907865524292,0.4841880798339844,0.4841880798339844,3.0667997155845486,,,
100000,7,1,both,1.8889301617940266,1.8889301617940266,1.1944412390391033,1.1944412390391033,1.5814341468263617,,,
1000,7,2,both,1.187448501586914,1.187448501586914,0.014573017756144205,0.014573017756144205,81.48267719541258,,,
5000,7,2,both,1.270815372467041,1.270815372467041,0.03804620107014974,0.03804620107014974,33.401899183676875,,,
10000,7,2,both,1.2430001894632976,1.2430001894632976,0.057047526041666664,0.057047526041666664,21.78885353512839,,,
25000,7,2,both,1.3002676169077556,1.3002676169077556,0.1580230394999186,0.1580230394999186,8.228342025457783,,,
50000,7,2,both,1.6408825715382893,1.6408825715382893,0.2687169710795085,0.2687169710795085,6.10636002983519,,,
75000,7,2,both,1.5354936122894287,1.5354936122894287,0.2766391436258952,0.2766391436258952,5.550529083353108,,,
100000,7,2,both,1.8130836486816406,1.8130836486816406,0.6836496194203695,0.6836496194203695,2.652065615452048,,,
1000,7,4,both,1.1933555603027344,1.1933555603027344,0.018045663833618164,0.018045663833618164,66.12976786587218,,,
5000,7,4,both,1.2279543081919353,1.2279543081919353,0.03633968035380045,0.03633968035380045,33.791004660378476,,,
10000,7,4,both,1.2348340352376301,1.2348340352376301,0.04545799891153971,0.04545799891153971,27.164284940051818,,,
25000,7,4,both,1.2732036113739014,1.2732036113739014,0.0906389554341634,0.0906389554341634,14.046980189425359,,,
50000,7,4,both,1.3946499824523926,1.3946499824523926,0.1355128288269043,0.1355128288269043,10.291645407490034,,,
75000,7,4,both,1.4700361092885335,1.4700361092885335,0.14901995658874512,0.14901995658874512,9.864692910530342,,,
100000,7,4,both,2.127718766530355,2.127718766530355,0.518963893254598,0.518963893254598,4.099936034444923,,,
1000,7,6,both,1.2516591548919678,1.2516591548919678,0.02011561393737793,0.02011561393737793,62.22326391769684,,,
5000,7,6,both,1.446784496307373,1.446784496307373,0.05752412478129069,0.05752412478129069,25.15091714664261,,,
10000,7,6,both,1.448113997777303,1.448113997777303,0.03858470916748047,0.03858470916748047,37.53077395223148,,,
25000,7,6,both,1.3142491181691487,1.3142491181691487,0.08974162737528484,0.08974162737528484,14.64481040301591,,,
50000,7,6,both,1.4453930060068767,1.4453930060068767,0.11567346254984538,0.11567346254984538,12.495458976893994,,,
75000,7,6,both,1.5047840277353923,1.5047840277353923,0.1514284610748291,0.1514284610748291,9.937260255136556,,,
100000,7,6,both,1.8652936617533367,1.8652936617533367,0.3709065119425456,0.3709065119425456,5.0290129768395,,,
